High,Low,Open,Volume,"_time",stock
"166.99","158.19","160.24",3668997,"1646092800.000000",NAY
"123.3851","121.0388","122.21",6757332,"1646006400.000000",PWNY
"121.35","117.38","120.85",2408128,"1646006400.000000",BCUP
166,"159.23","162.1",4705760,"1646006400.000000",NAY
"124.2625","121.45","122.05",4460904,"1645747200.000000",PWNY
"121.11","115.64","120.54",2297659,"1645747200.000000",BCUP
"161.65","154.87","159.44",3119979,"1645747200.000000",NAY
"122.1","118.81",120,6563202,"1645660800.000000",PWNY
"121.67","112.4","112.54",5146465,"1645660800.000000",BCUP
"160.54","142.63","143.75",6006393,"1645660800.000000",NAY
"124.7","121.87","124.38",4086367,"1645574400.000000",PWNY
"118.15","115.6","117.08",4074475,"1645574400.000000",BCUP
"158.94","148.5","156.445",4749871,"1645574400.000000",NAY
125,"122.68","124.2",5349687,"1645488000.000000",PWNY
"117.8118","112.01","112.06",3240983,"1645488000.000000",BCUP
"165.16","157.1","160.9",3643293,"1645488000.000000",NAY
"125.44","123.61","124.94",4609212,"1645142400.000000",PWNY
"118.81","113.79","117.57",1669266,"1645142400.000000",BCUP
"167.89","156.97","167.47",4435856,"1645142400.000000",NAY
"128.5","124.85","128.05",6796997,"1645056000.000000",PWNY
"122.1","116.66","122.1",2051696,"1645056000.000000",BCUP
"172.62","162.64","170.34",5091342,"1645056000.000000",NAY
"130.44","128.26","129.45",4875612,"1644969600.000000",PWNY
"123.99","121.21","123.53",1507334,"1644969600.000000",BCUP
"175.89","164.4327","165.81",4046408,"1644969600.000000",NAY
"131.68","129.61","130.64",4395714,"1644883200.000000",PWNY
"125.86","120.9","125.29",2488688,"1644883200.000000",BCUP
"169.82","162.54","169.2",5164032,"1644883200.000000",NAY
"132.65","129.07","132.59",5345289,"1644796800.000000",PWNY
"126.98","119.59","120.78",6803346,"1644796800.000000",BCUP
170,"160.4","164.39",6198130,"1644796800.000000",NAY
"134.7099","132.38","133.9",4176155,"1644537600.000000",PWNY
"120.15","113.98","118.26",1997376,"1644537600.000000",BCUP
"181.47","164.9192","176.42",6462550,"1644537600.000000",NAY
"136.56","133.17","135.47",5978640,"1644451200.000000",PWNY
"122.05","117.08","118.92",2657132,"1644451200.000000",BCUP
"184.7","167.1","170.365",15866050,"1644451200.000000",NAY
"138.35","136.83","137.84",5393478,"1644364800.000000",PWNY
"122.81","119.205","122.41",1606078,"1644364800.000000",BCUP
"156.2","148.49","152.921",5473877,"1644364800.000000",NAY
"137.52","135.78","137.23",4181825,"1644278400.000000",PWNY
"120.44","116.26","117.09",1001054,"1644278400.000000",BCUP
"154.64","148.19","149.25",3809330,"1644278400.000000",NAY
"137.8223","136.27","137.45",3759046,"1644192000.000000",PWNY
"121.19","116.77","118.03",2096376,"1644192000.000000",BCUP
"161.85","150.55","150.75",5269579,"1644192000.000000",NAY
"138.82","136.215","137.86",4142045,"1643932800.000000",PWNY
"118.625","114.5","115.15",1761481,"1643932800.000000",BCUP
"153.94","139.18","141.86",5644593,"1643932800.000000",NAY
"138.76","135.831",137,6100777,"1643846400.000000",PWNY
"120.02","114.55","118.2",1848889,"1643846400.000000",BCUP
"141.88","135.11","138.11",3362791,"1643846400.000000",NAY
"137.555","135.26","135.7",5357237,"1643760000.000000",PWNY
